n,n_positive,n_negative,auroc,auprc,brier,calibration_slope,ece10,seed,fold,timing,population,arm,model,selected_c,validation_auroc
72.0,23.0,49.0,0.7586512866015972,0.5757712652445681,0.2411796117853823,18.24775878580693,0.208093993886497,2026,3,T0_T3,ftv_complete_375,C0,C_PLUS_M,0.001,0.6731707317073171
72.0,23.0,49.0,0.6645962732919255,0.4341694758003184,0.2038872799210858,1.2253891215997226,0.0406138873783962,2026,3,T0_T3,ftv_complete_375,C0,F,0.1,0.8341463414634147
72.0,23.0,49.0,0.7409050576752441,0.6086902640711258,0.2405869408758357,15.961185959763712,0.1713960816002551,2026,3,T0_T3,ftv_complete_375,C0,C_PLUS_F,0.001,0.7780487804878048
72.0,23.0,49.0,0.7426796805678794,0.6046581924174894,0.2400061366839061,14.258770711256531,0.1777198271243626,2026,3,T0_T3,ftv_complete_375,C0,C_PLUS_F_PLUS_M,0.001,0.7609756097560976
84.0,23.0,61.0,0.7526728439059159,0.507493425780703,0.2027949687648469,3.289152296398268,0.1765174819852553,2026,4,T0,ftv_complete_375,C0,C,0.01,0.6885869565217391
84.0,23.0,61.0,0.7106200997861726,0.4139430902478094,0.2417252423239794,11.159378816996586,0.2160731693782565,2026,4,T0,ftv_complete_375,C0,C_PLUS_M,0.001,0.6760869565217391
84.0,23.0,61.0,0.4832501781895937,0.3100256329911585,0.2452314184265826,0.042078603052534,0.2153933140393369,2026,4,T0,ftv_complete_375,C0,F,0.001,0.583695652173913
84.0,23.0,61.0,0.759800427655025,0.5515457902440151,0.1694598297017135,1.4200217023617063,0.0970938528424159,2026,4,T0,ftv_complete_375,C0,C_PLUS_F,0.1,0.6902173913043479
84.0,23.0,61.0,0.7063435495367071,0.4204567531850884,0.2102748310598723,1.797043908261997,0.1596439148616012,2026,4,T0,ftv_complete_375,C0,C_PLUS_F_PLUS_M,0.01,0.6782608695652174
84.0,23.0,61.0,0.7526728439059159,0.507493425780703,0.2027949687648469,3.289152296398268,0.1765174819852553,2026,4,T0_T1,ftv_complete_375,C0,C,0.01,0.6885869565217391
84.0,23.0,61.0,0.7505345687811832,0.4814259711072244,0.2028194074524359,3.08833059123036,0.1899999588026066,2026,4,T0_T1,ftv_complete_375,C0,C_PLUS_M,0.01,0.7054347826086957
84.0,23.0,61.0,0.7683535281539557,0.5175179874100223,0.1811362930608626,2.486224073567286,0.0938873966735995,2026,4,T0_T1,ftv_complete_375,C0,F,0.1,0.6706521739130435
84.0,23.0,61.0,0.8189593727726301,0.5574282144862347,0.1963815861185151,4.3289084825626665,0.212318323840287,2026,4,T0_T1,ftv_complete_375,C0,C_PLUS_F,0.01,0.725
84.0,23.0,61.0,0.8025659301496793,0.5301419858971833,0.2400155866729962,20.18091966914922,0.2593885636083779,2026,4,T0_T1,ftv_complete_375,C0,C_PLUS_F_PLUS_M,0.001,0.7347826086956522
84.0,23.0,61.0,0.7526728439059159,0.507493425780703,0.2027949687648469,3.289152296398268,0.1765174819852553,2026,4,T0_T2,ftv_complete_375,C0,C,0.01,0.6885869565217391
