model,task,target,timepoint,transition,representation,fold,n,n_patients,n_folds,spearman,pearson,r2,mae,rmse,b0_rmse,rmse_gain_over_b0,target_variance,prediction_variance,prediction_target_variance_ratio
G4,static,sphericity,T3,,response_state,2,83,83,1,0.42638848075227737,0.44593633109497505,0.16883636192528384,0.09218072766667973,0.12216471401217542,0.1340032422687045,0.08834508819413753,0.01817478449282748,0.0018378286419707159,0.10111969375460815
G0,change,ftv,,T0→T1,response_state,3,72,72,1,0.27297575406778574,0.27089228971983426,0.02539508917511979,0.6229476511888477,0.8080060615639203,0.836179605912315,0.033693173271854567,0.6793206085268344,0.07176859297955118,0.10564760155766155
G0,change,ftv,,T1→T2,response_state,3,72,72,1,0.31767316226123865,0.2623576200593693,0.04987494125338454,0.7722573399278924,0.9429553631954755,0.9799155510350991,0.0377177276149787,0.9490206123971355,0.08542618511179917,0.09001509977325022
G0,change,ftv,,T2→T3,response_state,3,72,72,1,0.15361116470512576,0.18966047059486688,-0.008430689533934999,0.9330245849220299,1.1961468983180203,1.1921362013885097,-0.003364294218092916,1.4387890719397851,0.22466275466382246,0.15614710943066215
G0,change,ld,,T0→T1,response_state,3,72,72,1,0.10228224174994985,0.12443208728536667,-0.00020197052878412336,0.2566386058570407,0.4033796854697854,0.4061883103711679,0.006914588208646459,0.1649736138085839,0.0036924209102812164,0.02238188777609897
G0,change,ld,,T1→T2,response_state,3,72,72,1,0.18046902022024683,0.10554511730087768,-0.036103391577671395,1.0119694977537685,1.4454032051295198,1.4350815280623321,-0.007192397689854005,2.044791726269533,0.06130816729076509,0.02998259749544966
G0,change,ld,,T2→T3,response_state,3,72,72,1,0.13954297087564627,0.16936357620474493,0.026936456185563395,1.0999503706472287,1.4641340370044982,1.4843826419435144,0.013641095204740869,2.2340589035559177,0.03815633079692113,0.017079375452539892
G0,change,sphericity,,T0→T1,response_state,3,72,72,1,-0.08923403434304458,-0.12406658672197729,-0.18291829931145576,0.048299730465958354,0.06571428928564249,0.064303586216369,-0.02193817098360189,0.0037020222789571114,7.152952630635313e-05,0.019321743878457573
G0,change,sphericity,,T1→T2,response_state,3,72,72,1,0.15373979034021482,0.21639733233133515,-0.12386941005515406,0.060261147530798226,0.07766639496449539,0.07937809120705401,0.02156383728217583,0.00544282776010223,0.00019584971504342456,0.035983081529617614
G0,change,sphericity,,T2→T3,response_state,3,72,72,1,-0.09357514952730081,-0.060990528898407066,-0.22890058077214936,0.10200713466598871,0.14128867691019326,0.13024272284855373,-0.0848105277596489,0.01647297785833953,0.0019542398442723478,0.118633064469458
G0,static,ftv,T0,,response_state,3,72,72,1,0.7113640748601198,0.5043606772238154,0.23002999052189443,15.696971500634216,44.3124114375046,52.16050104449419,0.15046039531512506,2586.134495325207,757.1674699351705,0.2927796181149336
G0,static,ftv,T1,,response_state,3,72,72,1,0.6721975689754969,0.6873738571593985,0.3859195675030217,7.690994453969801,15.115781152830449,19.8148258172942,0.23714791680694297,377.3202207782097,80.18121020273601,0.21250175788979736
