population,seed,arm,timing,model,clinical_contract,fold,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
ftv_complete_375,2026,LOCAL0,T2,M,C2_full_with_treatment,2,83,24,59,0.5430790960451978,0.31273997187154334,0.480225988700565,0.3850775726775851
ftv_complete_375,2026,LOCAL0,T2,M,C2_full_with_treatment,3,72,23,49,0.554569653948536,0.4095749306239185,0.5501330967169477,0.3250614772995771
ftv_complete_375,2026,LOCAL0,T2,M,C2_full_with_treatment,4,84,23,61,0.5174625801853172,0.31010079371106025,0.5014255167498218,0.2498110777293009
ftv_complete_375,2026,LOCAL0,T2,M_residual,C2_full_with_treatment,0,69,20,49,0.49489795918367346,0.2785428653116454,0.4775510204081632,0.27928217399272803
ftv_complete_375,2026,LOCAL0,T2,M_residual,C2_full_with_treatment,1,67,20,47,0.5755319148936171,0.46639348396267566,0.5473404255319149,0.32908958981809017
ftv_complete_375,2026,LOCAL0,T2,M_residual,C2_full_with_treatment,2,83,24,59,0.4781073446327684,0.2946114296971501,0.46786723163841804,0.3467909198692689
ftv_complete_375,2026,LOCAL0,T2,M_residual,C2_full_with_treatment,3,72,23,49,0.4924578527062999,0.35110977413227484,0.5514640638864241,0.24612224858314505
ftv_complete_375,2026,LOCAL0,T2,M_residual,C2_full_with_treatment,4,84,23,61,0.48538845331432645,0.27420142983557183,0.49857448325017817,0.2524264845932192
ftv_complete_375,2026,LOCAL0,T3,C,C2_full_with_treatment,0,69,20,49,0.689795918367347,0.45913627829079706,0.6081632653061224,0.24900909795157006
ftv_complete_375,2026,LOCAL0,T3,C,C2_full_with_treatment,1,67,20,47,0.7180851063829786,0.5739782862919715,0.6430851063829788,0.24861127523741341
ftv_complete_375,2026,LOCAL0,T3,C,C2_full_with_treatment,2,83,24,59,0.6412429378531074,0.49331696165888866,0.5903954802259886,0.24103091419578523
ftv_complete_375,2026,LOCAL0,T3,C,C2_full_with_treatment,3,72,23,49,0.7515527950310559,0.6324861766008653,0.7342502218278616,0.2397912060729757
ftv_complete_375,2026,LOCAL0,T3,C,C2_full_with_treatment,4,84,23,61,0.7861724875267284,0.6134760895267667,0.7006414825374199,0.23870886355396798
ftv_complete_375,2026,LOCAL0,T3,C+F,C2_full_with_treatment,0,69,20,49,0.7397959183673469,0.5038748917204801,0.6341836734693878,0.18406879430644318
ftv_complete_375,2026,LOCAL0,T3,C+F,C2_full_with_treatment,1,67,20,47,0.702127659574468,0.5979460429753943,0.7074468085106382,0.19530576778137193
ftv_complete_375,2026,LOCAL0,T3,C+F,C2_full_with_treatment,2,83,24,59,0.757768361581921,0.581112442322917,0.6327683615819208,0.17699498315510043
ftv_complete_375,2026,LOCAL0,T3,C+F,C2_full_with_treatment,3,72,23,49,0.7790594498669032,0.7254091293262341,0.6792369121561668,0.16700809908900272
ftv_complete_375,2026,LOCAL0,T3,C+F,C2_full_with_treatment,4,84,23,61,0.8396293656450463,0.6278081613488481,0.7441197434069851,0.23656203075985122
ftv_complete_375,2026,LOCAL0,T3,C+F+M,C2_full_with_treatment,0,69,20,49,0.5489795918367346,0.3463661509283993,0.5423469387755102,0.3577668505975847
ftv_complete_375,2026,LOCAL0,T3,C+F+M,C2_full_with_treatment,1,67,20,47,0.6861702127659575,0.5639840206042633,0.6292553191489362,0.2180567724658971
ftv_complete_375,2026,LOCAL0,T3,C+F+M,C2_full_with_treatment,2,83,24,59,0.5699152542372881,0.3859797203313233,0.597457627118644,0.2349207024979416
ftv_complete_375,2026,LOCAL0,T3,C+F+M,C2_full_with_treatment,3,72,23,49,0.6787932564330079,0.5697376225475566,0.6180124223602484,0.21532399060428828
ftv_complete_375,2026,LOCAL0,T3,C+F+M,C2_full_with_treatment,4,84,23,61,0.6985032074126871,0.536953360891975,0.6022808267997148,0.21149777132192785
ftv_complete_375,2026,LOCAL0,T3,C+F+M_residual,C2_full_with_treatment,0,69,20,49,0.5489795918367347,0.3449867436654346,0.5571428571428572,0.357025369408196
ftv_complete_375,2026,LOCAL0,T3,C+F+M_residual,C2_full_with_treatment,1,67,20,47,0.624468085106383,0.49299527549660904,0.5973404255319149,0.29538229038756714
ftv_complete_375,2026,LOCAL0,T3,C+F+M_residual,C2_full_with_treatment,2,83,24,59,0.5720338983050848,0.43152457156344975,0.5596751412429378,0.23558154863297293
ftv_complete_375,2026,LOCAL0,T3,C+F+M_residual,C2_full_with_treatment,3,72,23,49,0.6379769299023957,0.5329532714451213,0.6180124223602484,0.2215628364649853
ftv_complete_375,2026,LOCAL0,T3,C+F+M_residual,C2_full_with_treatment,4,84,23,61,0.6685673556664291,0.46863722344230707,0.5887384176764077,0.21618179868587598
ftv_complete_375,2026,LOCAL0,T3,C+M,C2_full_with_treatment,0,69,20,49,0.49795918367346936,0.2942046242081572,0.4719387755102041,0.3585873985868055
ftv_complete_375,2026,LOCAL0,T3,C+M,C2_full_with_treatment,1,67,20,47,0.6744680851063829,0.5532421934411504,0.6148936170212767,0.2168992481298424
ftv_complete_375,2026,LOCAL0,T3,C+M,C2_full_with_treatment,2,83,24,59,0.5310734463276836,0.38356864450705,0.5218926553672316,0.25022459720542534
ftv_complete_375,2026,LOCAL0,T3,C+M,C2_full_with_treatment,3,72,23,49,0.6663708961845608,0.5356181590817356,0.5976042590949423,0.2191944159451369
ftv_complete_375,2026,LOCAL0,T3,C+M,C2_full_with_treatment,4,84,23,61,0.5488239486813971,0.322031962744471,0.5313613684960798,0.24856819607656233
ftv_complete_375,2026,LOCAL0,T3,C+M_error_correction,C2_full_with_treatment,0,69,20,49,0.4714285714285715,0.2738381321923872,0.45255102040816325,0.265222471959623
ftv_complete_375,2026,LOCAL0,T3,C+M_error_correction,C2_full_with_treatment,1,67,20,47,0.5680851063829787,0.4340792891651755,0.575,0.20492656512383606
ftv_complete_375,2026,LOCAL0,T3,C+M_error_correction,C2_full_with_treatment,2,83,24,59,0.5190677966101696,0.30648067076291585,0.4699858757062147,0.21891251454628397
ftv_complete_375,2026,LOCAL0,T3,C+M_error_correction,C2_full_with_treatment,3,72,23,49,0.6255545696539486,0.5026614201282225,0.5217391304347826,0.2108048484410546
ftv_complete_375,2026,LOCAL0,T3,C+M_error_correction,C2_full_with_treatment,4,84,23,61,0.6265146115466856,0.4354347547464742,0.5759087669280114,0.19581277982720313
ftv_complete_375,2026,LOCAL0,T3,F,C2_full_with_treatment,0,69,20,49,0.6857142857142857,0.4558727704892661,0.5545918367346938,0.18920963709257937
ftv_complete_375,2026,LOCAL0,T3,F,C2_full_with_treatment,1,67,20,47,0.7138297872340426,0.5252261929678913,0.5037234042553191,0.1922747221781808
