seed_base,fold,task,endpoint,target_semantics,metric,L3_minus_L1,N3_minus_N1,N1_minus_L1,difference_in_differences
2026,2,static,T0,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.13695898576885945,0.04162293774400738,-0.1593132110322824,-0.09533604802485207
2026,2,static,T1,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.09623861298853953,0.049095336048024796,-0.3701775744091348,-0.04714327694051473
2026,2,static,T2,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.08395953150581426,0.2336383862978045,-0.5150287561395407,0.14967885479199025
2026,2,static,T3,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,-0.04739515553503226,0.0861844590907182,-0.5167709164182864,0.13357961462575046
2026,2,static,macro,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.06744049368204519,0.1026352797951387,-0.39032261449981115,0.03519478611309351
2026,3,delta,T0→T1,literal_ftv_end_minus_ftv_start,spearman,0.13029776834523127,0.03736574699337579,-0.3452955173966171,-0.09293202135185548
2026,3,delta,T1→T2,literal_ftv_end_minus_ftv_start,spearman,0.265933500546659,-0.018039745321242612,0.16811370506141882,-0.2839732458679016
2026,3,delta,T2→T3,literal_ftv_end_minus_ftv_start,spearman,0.1576307158016591,0.014888417261560295,0.0687182455463373,-0.14274229854009882
2026,3,delta,macro,literal_ftv_end_minus_ftv_start,spearman,0.18462066156451648,0.011404806311231001,-0.0361545222629536,-0.17321585525328548
2026,3,static,T0,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.0498102771882436,0.11174352048363238,-0.4007331661200078,0.06193324329538878
2026,3,static,T1,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.13727570904881342,0.037751623898643005,-0.15647308508585767,-0.09952408515017042
2026,3,static,T2,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.09981349282912089,0.049745964370699086,-0.5179432760949256,-0.0500675284584218
2026,3,static,T3,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.0547623641391729,0.07476365039552388,-0.3636246703968101,0.020001286256350975
2026,3,static,macro,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.08541546080133772,0.0685011897871245,-0.3596935494244003,-0.016914271014213222
2026,4,delta,T0→T1,literal_ftv_end_minus_ftv_start,spearman,0.05264756505011642,-0.01518679761061048,-0.0725928925787182,-0.0678343626607269
2026,4,delta,T1→T2,literal_ftv_end_minus_ftv_start,spearman,-0.0071074212817656135,0.04657284600587221,-0.255846917080085,0.05368026728763782
2026,4,delta,T2→T3,literal_ftv_end_minus_ftv_start,spearman,-0.010387769565657595,0.0071074212817657245,0.188356788498532,0.01749519084742332
2026,4,delta,macro,literal_ftv_end_minus_ftv_start,spearman,0.011717458067564357,0.012831156559009183,-0.04669434038675713,0.0011136984914448256
2026,4,static,T0,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.05046066619418843,-0.037440518376025134,-0.26277209679052355,-0.08790118457021356
2026,4,static,T1,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.04153082919914952,-0.031527791839627284,-0.15267793864533769,-0.0730586210387768
2026,4,static,T2,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.13532449124228013,0.0017616685228307727,-0.011177483041409253,-0.13356282271944936
2026,4,static,T3,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,-0.006337956869494843,-0.05777057811076239,-0.33981978333502083,-0.051432621241267545
2026,4,static,macro,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.055244507441530755,-0.03124430495089603,-0.19161182545307287,-0.08648881239242678
3026,0,delta,T0→T1,literal_ftv_end_minus_ftv_start,spearman,-0.015527950310559008,0.2280964559736939,-0.1,0.24362440628425291
3026,0,delta,T1→T2,literal_ftv_end_minus_ftv_start,spearman,0.019473876507124566,0.20843989769820978,-0.2048227986846913,0.18896602119108522
3026,0,delta,T2→T3,literal_ftv_end_minus_ftv_start,spearman,0.07946656923639028,0.002082572159298496,-0.0011326269638290004,-0.07738399707709179
